,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
489,moore mafia,37.5,32.25,25.8,31.75,15.25,39.0,57.75,38.5,51.4,87.75,48.0,38.2
490,harrell engine and dyno,0.0,20.5,0.0,0.0,10.75,11.6,9.75,0.0,39.8,6.25,20.25,7.8
491,double dyno piercing,7.5,42.25,5.0,4.0,2.0,10.4,3.75,0.0,4.8,0.0,0.0,2.0
492,dyno nobel st helens,14.5,38.25,5.4,6.75,18.0,9.8,0.0,8.5,5.2,0.0,0.0,5.6
493,dynamometer for sale,6.75,5.5,4.8,10.75,13.75,16.2,0.0,28.75,0.0,0.0,3.5,15.0
494,mustang dyno vs dynojet,31.5,11.5,16.0,12.5,44.25,4.4,8.75,20.25,33.2,23.0,14.25,16.0
495,lund racing,32.75,30.0,20.2,31.5,29.0,39.4,20.0,36.5,33.0,32.5,23.5,35.6
496,dyno don nicholson,0.0,0.0,33.8,26.0,10.75,9.4,30.0,14.0,9.8,0.0,0.0,20.0
497,lead dyno,0.0,8.0,9.2,9.0,0.0,5.4,14.25,6.0,15.4,0.0,11.0,20.0
498,virtual dyno,47.5,16.5,15.8,25.75,18.5,16.2,13.5,34.25,6.2,14.0,44.5,6.2
499,dyno safe,19.75,11.75,13.0,26.0,10.5,5.0,20.25,21.25,15.2,35.75,21.5,10.4
500,discord fonts,39.0,35.25,33.0,38.0,34.25,35.4,34.0,33.0,31.6,36.0,46.25,54.2
501,credit dyno,25.0,0.0,8.2,7.5,13.25,17.8,11.25,8.5,24.2,31.75,43.0,26.0
502,dyno rock climbing,10.0,27.5,8.4,18.75,25.0,19.6,33.5,13.75,28.0,9.5,0.0,0.0
503,python list,75.25,86.0,93.4,83.5,68.5,71.8,85.25,77.75,74.2,60.25,60.5,56.2
504,python function,58.75,89.25,96.8,79.5,59.25,68.2,90.75,74.25,68.8,52.5,52.5,49.4
505,python if,69.5,90.5,92.8,80.25,63.5,74.4,89.25,79.0,72.8,60.5,61.0,55.4
506,python code,65.75,83.75,87.0,83.5,70.0,80.6,94.5,84.0,84.0,68.75,67.5,60.6
507,what is python,62.75,86.0,90.2,79.0,63.75,78.6,95.5,82.25,81.4,67.25,62.5,60.4
508,python pandas,80.25,86.0,95.6,87.75,70.0,78.4,96.25,86.75,81.0,66.25,68.5,59.8
509,python install,78.25,80.0,84.8,78.5,73.25,84.0,94.75,92.5,90.6,82.75,83.5,74.6
510,ball python,85.25,84.75,78.8,76.5,74.25,77.2,80.0,78.0,75.0,77.25,80.75,86.8
511,python array,63.5,90.0,96.2,88.25,61.5,68.2,89.75,74.5,70.2,52.0,55.75,50.6
512,python dictionary,73.5,84.0,97.2,88.25,63.5,69.0,84.25,78.25,73.0,54.75,58.25,50.0
513,python print,66.5,91.25,90.6,75.5,58.25,71.4,86.25,72.5,65.0,52.75,54.5,50.2
514,monty python,70.0,81.75,77.4,69.25,75.25,72.6,70.5,79.0,78.4,84.5,75.0,66.4
515,python set,75.0,93.5,96.4,84.75,71.5,76.2,94.0,83.5,80.6,67.0,70.0,61.2
516,function in python,51.0,88.0,91.4,74.25,51.0,61.6,82.75,64.0,59.6,44.5,43.25,41.2
517,python api,78.0,71.75,79.6,74.75,72.25,79.2,88.75,86.75,92.4,82.25,85.25,73.6
518,python json,88.0,85.75,90.0,86.75,75.25,80.0,94.75,89.5,87.4,82.0,82.75,72.0
519,python class,69.5,78.25,87.0,86.5,70.75,72.6,86.0,80.5,75.4,65.5,61.5,62.8
520,python import,75.5,84.5,87.8,88.0,71.0,75.8,93.0,85.0,82.8,70.0,70.25,67.2
521,numpy,63.5,82.75,87.6,80.5,55.75,69.0,93.25,76.75,74.2,56.25,58.5,52.4
522,python time,81.75,90.75,96.4,87.25,71.25,79.4,94.5,85.25,81.8,71.75,73.75,68.8
523,python version,77.5,77.75,80.0,75.75,69.0,83.0,90.0,84.75,90.8,83.25,84.75,78.2
524,python csv,69.25,74.25,85.0,86.25,67.5,66.6,85.0,75.5,72.4,57.75,62.5,55.8
525,pip,80.0,81.25,82.6,79.5,77.25,83.0,91.25,94.0,92.4,89.0,88.0,86.4
526,python open,79.75,83.75,90.4,88.75,71.75,81.0,96.5,85.5,82.6,74.5,74.0,67.8
527,python download,80.5,84.25,80.4,71.75,71.25,86.4,85.25,79.5,79.6,75.75,75.25,66.8
528,python 3.11,10.25,9.0,39.6,42.0,41.75,49.0,44.0,46.75,50.2,44.75,43.0,35.8
529,python dataclass,65.0,69.75,69.4,74.5,60.25,56.4,79.25,88.75,79.4,69.75,66.0,53.2
530,colt python 3 inch,33.5,39.0,21.8,42.25,24.25,55.6,44.0,63.5,57.4,55.25,63.25,28.6
531,poetry python,57.25,64.5,70.4,58.25,57.0,72.0,73.0,74.75,75.0,86.0,74.25,75.4
532,python playground,38.25,34.25,42.2,42.25,50.5,45.2,66.5,59.0,71.4,41.5,52.0,49.6
533,replit,34.75,58.5,66.8,69.5,61.0,81.8,88.5,75.25,67.2,60.5,31.75,23.6
534,google colab python,51.5,84.0,88.0,78.5,52.5,60.2,81.25,73.75,75.2,55.75,47.0,43.4
535,python dotenv,27.25,30.5,22.0,36.0,28.0,26.6,24.5,33.25,38.2,38.25,37.75,55.6
536,online python compiler,44.0,78.75,85.6,62.5,59.75,59.2,77.0,66.25,63.2,46.25,44.0,32.2
537,google colab,45.5,74.75,75.8,74.5,49.5,58.4,85.0,78.75,92.6,62.5,58.5,51.0
538,dyno discord,78.5,65.25,52.0,64.0,53.0,62.4,53.75,55.5,52.4,54.75,56.75,57.2
539,carl bot discord,77.5,71.0,67.0,53.0,66.75,79.0,75.75,61.75,66.8,74.0,78.25,76.8
540,dyno commands,23.25,11.0,26.4,27.5,31.25,16.2,8.5,15.5,11.0,28.75,26.5,7.6
541,dyno bot commands,19.25,3.75,13.8,15.25,14.25,7.4,11.25,8.0,3.4,5.25,15.75,30.0
542,add dyno bot,28.0,20.5,21.0,7.25,5.25,0.0,13.75,15.25,27.2,0.0,8.75,4.6
543,dyno bot dashboard,20.25,7.0,10.0,8.75,7.75,18.4,43.5,4.25,10.0,0.0,9.0,7.2
544,dyno bot invite,31.75,19.25,10.0,0.0,9.5,25.6,25.0,11.5,17.6,28.0,33.75,30.2
545,dyno invite,14.25,10.25,14.6,8.5,5.0,4.6,11.0,2.75,0.0,0.0,16.5,24.0
546,reaction roles discord,75.25,80.5,61.8,59.25,45.0,72.8,75.75,45.75,50.0,63.0,72.75,56.0
547,sapphire bot,4.75,16.25,14.2,30.0,6.5,3.6,0.0,5.5,19.2,4.0,34.0,29.4
548,poketwo,66.5,71.0,56.0,60.0,46.0,60.8,49.0,55.25,68.0,57.75,83.25,50.0
549,zira bot,11.25,16.75,8.0,11.75,10.75,12.6,15.5,6.0,11.2,5.75,0.0,26.2
550,dinobot,37.0,32.75,28.8,48.0,56.25,39.6,38.25,39.75,32.0,44.75,63.0,63.2
551,security bot,26.75,28.75,20.6,26.25,29.0,23.2,25.75,24.25,29.0,32.25,40.75,49.8
552,pingcord discord bot,6.0,7.25,7.8,4.75,0.0,24.0,5.0,10.75,0.0,7.25,27.75,13.4
553,tickets bot,14.0,14.25,15.0,25.5,13.75,11.6,18.75,17.5,19.6,23.75,22.5,39.0
554,tatsumaki bot,0.0,6.25,2.4,5.0,5.5,8.2,5.25,3.75,2.8,2.75,6.5,22.4
555,ticket tool discord,30.25,28.75,32.4,22.5,25.25,25.8,22.5,21.75,16.2,31.75,20.5,42.4
556,discord emojis,74.0,59.75,52.2,58.25,53.0,60.0,58.25,58.5,71.2,58.75,68.25,71.4
557,bloxlink,61.75,54.75,56.6,47.75,36.75,38.0,39.5,44.5,40.4,54.0,74.5,51.6
558,discohook,51.5,52.25,46.6,67.0,56.5,66.0,77.5,75.25,72.4,63.25,76.75,56.2
559,ticket bot discord,49.5,33.5,33.8,39.25,42.75,41.8,37.25,39.5,39.8,30.25,34.5,54.4
560,dynobot,39.5,62.0,16.8,14.5,30.75,21.8,27.0,40.25,41.6,28.25,43.75,36.4
561,discord rules,75.75,64.25,62.8,57.75,73.0,73.4,70.25,77.0,67.8,71.0,85.5,75.0
562,arcane bot discord,39.75,15.0,34.0,19.5,37.25,32.0,26.0,39.5,45.8,42.25,38.0,53.4
563,ai,15.5,16.5,16.4,19.75,34.75,33.6,42.0,47.0,74.4,74.5,67.25,68.6
564,ai bot chatgpt,1.75,0.0,3.4,0.0,64.75,54.4,46.0,39.25,57.8,38.5,23.75,31.2
565,chat ai,1.25,1.0,1.4,2.5,43.75,51.8,59.25,66.0,82.8,76.5,57.0,54.2
566,ai bot chat,4.0,5.25,4.0,6.75,68.75,47.8,52.0,42.5,64.6,46.75,34.5,31.8
567,discord chatgpt bot,8.25,0.0,7.0,6.75,26.25,26.8,46.5,71.0,51.8,46.5,30.75,23.8
568,chatgpt discord,0.0,0.0,0.0,2.0,32.25,45.2,62.5,72.75,87.2,62.0,52.5,38.4
569,chatgpt chatbot,0.0,0.0,0.0,2.25,51.0,61.2,78.25,65.25,52.0,31.75,20.5,22.2
570,chatgpt free,0.25,0.25,0.2,0.5,20.0,39.6,58.5,66.0,89.4,79.0,65.25,56.6
571,what is chatgpt,0.0,0.0,0.0,0.25,23.75,46.6,77.0,77.25,92.2,69.75,49.25,39.8
572,chatbot ai,6.0,4.75,4.6,5.75,46.5,43.8,81.5,57.75,79.2,58.25,47.0,47.4
573,chatgpt api,0.0,0.5,0.0,1.75,21.75,40.2,65.5,91.75,88.6,65.0,49.0,45.0
574,ai bot on snapchat,0.0,0.0,0.8,0.0,0.5,1.0,0.5,0.5,26.4,4.75,1.25,3.4
575,how to get snapchat ai bot,0.0,1.0,0.6,0.5,1.0,0.8,0.0,0.5,24.4,4.5,1.5,0.4
576,snapchat my ai,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,28.0,4.25,2.0,1.2
577,my ai snapchat bot,1.0,2.25,1.2,0.0,0.0,0.0,2.75,0.0,28.2,4.0,0.0,1.0
578,snapchat ai bot remove,0.0,0.75,0.4,0.5,0.0,0.8,0.0,0.0,23.2,1.0,2.0,0.0
579,how to get rid of snapchat ai bot,0.75,1.25,0.0,0.75,3.25,2.0,2.5,0.75,26.2,6.0,0.0,0.0
580,how to get ai bot on snapchat,2.25,0.0,1.4,2.5,0.0,0.8,0.75,2.0,23.8,1.25,0.0,0.0
581,what is snapchat ai bot,2.0,5.0,1.8,0.0,0.0,0.0,4.75,1.25,30.2,2.0,7.5,0.0
582,how to remove snapchat ai,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,32.8,11.25,4.0,3.0
583,how to remove snapchat ai bot,6.5,0.0,5.2,0.0,0.0,0.0,2.0,3.75,25.2,0.0,1.75,4.6
584,how to get the snapchat ai bot,3.0,3.75,1.2,4.75,3.5,2.6,2.75,0.0,25.6,0.0,1.25,2.0
585,how to delete snapchat ai bot,0.0,6.25,0.0,10.25,3.75,4.0,6.0,8.25,29.6,3.5,2.25,20.0
586,how to get rid of ai bot on snapchat,4.0,6.5,0.0,3.75,8.5,3.2,0.0,2.5,19.0,1.75,2.25,20.0
587,what is ai bot on snapchat,3.0,0.0,3.0,7.25,15.5,8.0,3.0,10.75,29.8,5.75,0.0,8.6
588,how to get the ai bot on snapchat,0.0,4.0,7.2,4.25,5.25,3.2,6.5,0.0,44.6,7.5,2.75,0.0
589,snapchat ai bot reddit,6.75,0.0,0.0,0.0,3.0,2.4,0.0,0.0,16.2,0.0,0.0,30.0
590,what is the snapchat ai bot,0.0,0.0,3.2,6.0,0.0,3.0,0.0,0.0,33.4,5.25,3.75,0.0
591,what is the ai bot on snapchat,3.0,3.5,3.0,0.0,0.0,3.8,0.0,0.0,8.8,6.0,8.0,20.0
592,how to use snapchat ai bot,0.0,18.25,0.0,0.0,0.0,12.6,0.0,10.25,25.8,10.5,0.0,12.0
593,my all snapchat bot,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.5,22.2,0.0,1.5,3.6
594,how to remove ai bot from snapchat,0.0,0.0,18.6,5.5,0.0,3.6,5.0,0.0,35.8,0.0,9.0,5.0
595,how to delete my ai on snapchat,0.5,0.25,0.2,0.0,0.0,0.0,0.0,0.25,28.2,3.75,1.5,1.6
596,how to get rid of the ai bot on snapchat,0.0,16.25,10.0,0.0,23.75,6.2,0.0,0.0,45.2,0.0,10.5,23.0
597,snapchat ai bot creepy,0.0,0.0,28.8,0.0,10.5,9.4,11.5,20.75,16.6,0.0,18.75,20.0
598,how to delete the ai bot on snapchat,0.0,20.0,0.0,0.0,0.0,0.0,8.25,0.0,44.6,10.75,16.25,0.0
599,is the ai bot on snapchat safe,12.0,16.75,20.4,0.0,25.0,7.4,0.0,0.0,12.6,8.0,6.75,0.0
600,chat gpt ai,0.0,0.0,0.0,0.75,41.5,58.8,62.25,77.75,91.0,75.75,52.25,44.2
601,chatgpt bot,0.0,0.0,0.6,2.0,69.75,72.8,85.5,78.75,90.4,63.75,41.75,44.0
602,chat gpt discord,1.25,1.75,0.0,0.0,28.5,57.4,60.75,86.0,92.8,71.0,56.75,50.8
603,what is chat gpt,0.25,0.0,0.0,0.5,22.0,47.8,63.25,78.0,93.4,69.0,45.5,33.2
604,open ai chat bot gpt,1.75,4.5,1.2,0.0,42.0,35.2,6.25,7.75,8.2,2.75,0.0,1.6
605,ai chat bot free,2.5,0.0,8.2,0.0,20.0,33.2,25.25,32.25,68.0,65.75,41.5,36.8
606,chat openai,0.0,0.0,0.2,4.5,70.5,62.4,56.25,61.75,58.0,44.0,30.75,23.4
607,new chat bot,9.0,7.0,0.0,8.75,71.5,49.6,49.75,22.0,22.6,22.25,14.0,9.6
608,quil bot,16.25,38.25,43.6,42.75,42.0,45.2,64.0,65.75,78.2,56.25,26.75,14.6
609,online chat bot,38.0,14.5,16.0,5.75,26.25,50.4,52.0,77.5,78.4,63.25,64.75,80.4
610,bing,60.0,58.25,59.8,75.5,75.75,64.4,84.75,73.0,71.4,69.5,65.25,61.8
611,chat gpt website,0.0,0.75,0.0,0.0,30.5,58.4,60.5,71.0,88.6,70.0,57.25,48.8
612,d2 checkpoint bot,0.0,0.0,2.4,2.0,5.5,1.2,8.0,31.5,27.2,52.0,21.0,26.4
613,shuro chi wish wall,51.25,78.75,45.4,15.25,29.25,40.6,50.0,78.75,72.0,55.0,53.5,50.2
614,how to join checkpoint bot destiny 2,0.0,0.0,1.4,0.0,8.0,1.6,11.0,0.0,3.8,0.0,0.0,20.0
615,destiny 2 checkpoint sharing,6.0,17.25,47.2,0.0,0.0,0.0,17.75,12.0,6.4,9.5,0.0,18.0
616,mittens chess bot rating,2.25,0.0,3.4,4.75,2.25,4.0,10.0,6.25,3.6,3.25,4.0,20.0
617,chat,34.75,33.25,33.0,34.5,54.5,64.6,75.5,86.25,94.2,85.75,71.5,64.0
618,ai bot chat gpt,2.25,4.5,2.4,1.0,75.75,52.8,42.5,42.75,55.4,32.0,20.25,12.4
619,ai bot discord,51.25,36.75,34.0,16.5,27.75,35.2,46.75,49.25,80.0,77.75,68.75,57.4
620,open ai bot,0.5,0.0,0.2,2.5,58.25,21.0,10.75,5.5,7.2,3.5,2.75,4.0
621,ai character bot,2.0,0.0,1.4,0.0,9.75,20.0,22.0,23.25,69.0,58.25,56.25,64.4
622,bing ai bot,0.0,1.5,3.0,1.25,0.0,3.0,57.75,25.5,21.2,16.0,7.5,7.8
623,snapchat my ai bot,1.0,2.25,1.2,0.0,0.0,0.0,2.75,0.0,28.2,4.0,0.0,1.0
624,ai bot breakthrough,0.0,0.5,0.0,0.0,0.0,21.4,0.0,1.0,0.6,0.0,0.0,1.2
625,snap ai bot,0.0,0.75,1.2,0.0,0.75,2.6,3.25,0.0,27.4,2.75,1.75,9.4
626,ai bot breakthrough of the year,1.25,0.0,0.4,1.5,0.0,21.8,0.0,0.0,0.4,0.75,0.0,7.8
627,character ai nsfw bot,12.0,0.0,0.0,8.0,0.0,3.4,15.25,4.25,43.4,27.25,22.5,35.8
628,human or bot,0.75,0.5,1.8,3.25,1.25,1.0,1.75,0.5,1.6,56.0,14.25,3.6
629,ai essay writer,1.0,5.75,6.4,7.5,47.5,49.0,55.75,55.75,56.4,44.5,18.75,18.2
630,ai bot essay writer,1.75,0.0,1.4,7.5,10.0,2.4,13.25,18.0,14.6,7.5,3.75,20.0
631,2022 ai bot of the year,2.75,3.75,1.4,0.0,0.0,22.8,2.0,0.0,4.4,0.75,0.0,0.0
632,destiny 2 checkpoint bot,0.0,5.5,3.4,1.5,0.75,4.0,7.25,37.25,39.8,49.0,32.5,22.0
633,how to use d2 checkpoint bot,0.0,24.75,11.8,6.0,25.0,0.0,17.75,23.25,8.4,29.75,7.25,0.0
634,ai chatbot gpt,0.0,1.25,1.2,1.75,73.75,62.6,64.0,55.5,52.6,28.0,26.25,22.8
635,free chat gpt,0.0,0.0,0.0,0.5,24.5,41.6,53.0,76.75,91.2,82.5,63.5,61.8
636,ai writer,7.5,11.0,13.2,14.75,53.5,59.4,69.75,69.0,76.2,74.75,47.5,43.2
637,ai chat bots,6.0,9.25,4.8,8.5,23.0,29.4,38.5,43.25,71.0,53.5,60.75,36.0
638,is chat gpt free,0.0,0.0,0.0,0.75,27.5,36.8,49.25,61.75,65.0,51.5,39.75,44.4
639,fishing boat fire tacoma washington,1.0,0.0,0.2,0.0,0.25,1.6,0.0,0.75,20.0,0.25,0.0,0.0
640,mötley crüe guitarist mick mars,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,20.6,0.0,0.0,0.0
641,missing texas woman found alive in jeep,0.75,1.25,0.0,0.0,0.5,2.4,0.0,0.0,20.0,0.75,1.25,1.0
642,chicago walmart stores closing,0.75,0.25,0.0,0.0,0.25,0.0,0.25,1.0,22.6,0.5,0.25,0.8
643,russian volcano eruption,0.25,0.0,0.2,11.25,1.0,0.0,0.25,1.5,22.8,0.25,0.5,0.8
644,guilford county airplane crash,0.5,0.75,0.4,0.0,1.75,1.4,0.0,0.0,20.4,0.5,0.0,0.4
645,missing texas woman found alive,0.0,0.0,0.2,0.5,0.0,0.0,0.5,0.0,21.0,0.25,0.0,0.4
646,fbi phone charging stations,0.5,0.0,0.2,0.25,0.25,0.0,0.0,0.0,20.8,0.25,0.0,0.2
647,georgia football coach mark taylor,0.25,0.5,0.0,0.75,1.0,0.2,0.0,0.0,21.0,0.75,0.75,0.2
648,texas mystery animals,0.0,1.0,0.4,0.5,0.0,0.4,0.5,0.25,20.8,0.0,0.0,0.8
649,california wildflowers superbloom,0.0,0.5,0.2,0.0,0.0,0.2,0.75,0.25,21.4,1.0,0.0,1.6
650,arcturus covid variant,0.0,0.0,0.4,0.5,0.25,0.2,0.0,0.0,49.2,2.0,0.75,0.4
651,jim jordan,10.0,6.0,6.2,10.0,7.75,31.0,11.75,14.25,17.4,10.0,17.25,9.6
652,florida flooding,1.5,13.75,5.0,1.75,0.5,1.2,1.0,1.25,26.4,1.5,1.5,1.2
653,chesterfield county car crash,0.25,1.25,0.0,0.0,0.5,0.0,0.0,0.0,20.8,0.25,0.25,0.0
654,polk county car crash,0.75,0.0,0.6,0.0,1.25,2.6,2.5,0.75,21.2,0.75,0.0,2.0
655,kodiak enterprise fishing boat fire,0.75,0.25,0.0,1.0,0.5,1.0,0.0,0.25,20.2,0.0,0.25,0.0
656,tiktok old age filter capcut,0.0,0.5,0.4,0.0,0.0,0.0,0.25,0.25,22.2,0.25,0.0,0.2
657,elon musk interview bbc,0.25,0.25,0.2,0.25,0.0,0.0,0.25,0.25,25.0,0.5,0.25,0.2
658,instagram notes number trend,0.0,0.0,0.0,0.5,0.0,0.6,0.5,0.0,20.4,1.0,0.25,0.8
659,rutgers university faculty strike,0.5,0.25,0.6,0.25,0.75,1.0,1.5,0.0,31.0,0.0,0.5,0.0
660,fbi warning public charging stations,0.75,0.0,0.2,1.25,0.0,0.4,0.5,0.25,20.0,0.25,0.75,0.0
661,a knight of the seven kingdoms hbo,0.0,1.25,1.4,1.75,0.0,0.0,0.0,0.0,21.4,0.5,1.75,0.2
662,justin pearson tennessee,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.75,0.0,0.2
663,character ai chat bot,6.0,0.0,0.0,5.5,3.75,22.4,22.0,14.75,72.4,38.75,32.75,51.0
664,character ai nsfw,0.0,1.25,0.4,0.5,3.75,14.0,19.5,20.75,74.4,76.75,77.0,82.6
665,character ai discord bot,0.0,1.0,0.8,4.0,1.25,1.4,2.75,1.0,5.0,3.75,1.0,24.8
666,character ai discord,6.0,0.0,0.0,0.0,10.0,11.8,27.0,22.25,52.2,74.0,74.75,72.2
667,chai ai,2.5,2.5,1.6,3.0,4.5,7.2,13.75,15.75,41.0,44.5,54.75,62.8
668,chai,78.25,91.0,91.0,87.5,85.5,86.8,82.75,77.5,81.2,78.5,87.0,92.2
669,chai ai bot,2.25,1.75,1.4,4.0,8.0,0.0,2.75,7.75,21.6,22.75,21.0,34.4
670,ai character chatbot,1.0,0.0,2.0,1.0,12.75,19.2,24.75,23.75,68.2,56.25,37.25,38.0
671,how to make a character ai bot,15.0,17.75,0.0,0.0,7.25,26.8,17.0,8.0,21.6,13.75,25.5,53.8
672,ai roleplay bot,8.5,4.5,18.4,17.25,5.25,10.6,28.0,22.0,46.8,53.5,58.25,32.6
673,character ai reddit,0.0,1.5,2.4,2.0,11.75,24.0,20.75,27.25,47.4,65.75,46.75,63.8
674,roleplay ai,3.25,1.5,3.4,4.5,8.75,11.4,26.75,30.25,74.8,52.0,55.75,45.2
675,tavern ai,2.0,1.0,0.6,1.5,1.0,6.6,6.0,15.75,31.0,54.5,68.75,68.4
676,beta character ai nsfw bot,0.0,6.25,3.6,1.75,0.0,5.4,0.0,0.0,3.0,1.25,5.25,20.0
677,ai character generator,9.25,12.5,11.6,16.0,34.5,24.2,40.5,43.75,66.2,87.0,74.75,66.4
678,character ai alternative,0.0,1.5,1.2,1.25,4.75,7.0,4.5,12.75,24.0,28.5,38.0,58.6
679,roleplay ai chat bot,15.25,8.25,13.6,24.0,10.75,12.4,23.75,36.5,61.8,46.25,24.0,30.6
680,gbt ai,4.25,2.75,1.4,0.75,76.0,63.4,61.5,69.5,74.0,58.25,40.0,29.0
681,ai chat gbt,1.75,0.0,0.6,2.75,69.0,57.0,56.5,58.25,76.2,59.0,38.5,25.6
682,what is chat gbt,0.75,1.5,2.0,0.0,16.5,32.4,46.5,53.75,74.6,52.25,35.5,34.4
683,google chat gbt,3.0,2.0,1.2,1.0,14.0,28.6,46.0,59.75,81.4,65.25,36.5,32.8
684,chat gbt login,1.25,0.0,0.0,0.0,9.0,15.8,24.0,38.25,57.6,36.75,22.0,35.4
685,free chat gbt,0.0,4.25,5.2,8.5,15.5,26.2,36.25,45.75,66.6,60.5,37.5,48.0
686,open chat gbt,5.0,0.0,0.0,0.0,56.5,65.2,58.75,48.5,39.2,43.75,27.0,31.8
687,chat gbt open ai,3.25,0.0,0.0,3.25,65.25,56.4,45.0,36.0,23.0,31.5,14.0,11.6
688,chat open ai,0.25,0.0,0.0,3.25,78.5,69.6,53.0,55.5,53.0,44.25,30.25,27.4
689,chat gbt app,0.0,13.5,6.6,9.25,43.25,26.2,31.5,40.75,62.6,41.0,20.0,30.4
690,openai chat,0.0,0.0,0.4,4.75,74.0,64.8,61.5,65.0,59.4,46.0,32.75,24.8
691,openai chat gbt,0.0,0.0,3.0,2.75,47.0,42.8,30.5,35.5,17.4,28.75,11.5,5.2
692,chat gbt openai,0.0,0.0,3.0,2.75,47.0,42.8,30.5,35.5,17.4,28.75,11.5,5.2
693,how to use chat gbt,3.0,2.25,2.2,2.75,5.0,10.8,8.75,19.0,19.8,13.5,2.25,24.0
694,chat gbt stock,0.0,11.25,0.0,0.0,33.75,41.2,34.5,25.75,19.8,8.75,26.25,29.0
695,bing chat gpt,0.0,0.0,0.0,0.0,1.0,3.6,72.75,47.75,33.6,25.75,18.0,13.6
696,bing chatbot,0.0,0.0,0.0,0.0,0.25,0.0,52.75,16.0,9.8,8.25,5.0,4.0
697,bing chatgpt,0.0,0.0,0.0,0.0,0.5,3.2,66.75,38.5,27.8,22.25,15.75,15.4
698,microsoft bing chat bot,0.0,0.0,16.4,15.75,24.0,15.2,60.25,6.5,0.0,7.5,15.75,22.8
699,chat bot online free,21.75,12.0,11.2,7.75,5.75,13.0,36.5,59.25,61.6,44.75,71.25,21.4
700,chat bot online,26.75,19.5,8.2,9.5,52.0,40.0,65.25,74.25,68.8,74.25,66.25,51.4
701,2022 breakthrough of the year ai bot,4.75,0.0,0.0,0.0,0.0,23.0,0.0,0.0,15.6,2.25,0.0,20.0
702,ai bot 2022,0.0,1.5,1.4,0.75,2.0,25.0,1.0,3.5,0.8,1.25,1.5,3.2
703,2022 breakthrough of the year,7.25,1.25,6.4,1.25,4.75,23.2,3.5,0.0,0.0,0.0,6.75,3.0
704,stephen colbert,52.0,49.75,53.4,51.0,34.0,47.6,46.25,41.0,52.6,20.0,17.75,15.0
705,drug that contains nyt,0.0,2.25,2.6,0.0,1.75,21.4,0.0,0.75,0.0,1.5,0.0,0.6
706,psilocybin drug,14.75,13.75,13.6,16.25,15.5,32.2,18.75,17.75,21.4,20.25,19.5,18.4
707,slight problem crossword clue,0.0,9.5,3.6,6.75,4.25,22.8,7.0,5.0,0.0,0.0,0.0,2.4
708,wordle,98.5,94.0,89.8,84.0,87.0,82.2,92.5,82.75,85.8,85.25,81.0,81.0
709,honoree on jan 16 2023,13.5,0.0,5.8,0.0,5.0,25.4,15.5,3.5,4.8,0.0,5.75,0.0
710,slight problems,3.0,3.25,5.8,8.25,5.75,27.6,12.75,7.25,3.4,7.75,6.5,20.0
711,unreturned tennis serve,5.5,4.25,7.8,19.5,7.25,23.0,3.0,13.75,7.2,6.5,5.75,19.4
712,sends incessant messages crossword clue,0.0,0.0,0.0,0.0,2.25,26.2,1.5,1.75,0.0,0.0,0.0,1.8
713,drug that contains psilo crossword,6.0,0.0,13.8,0.0,9.0,20.0,7.75,0.0,0.0,0.0,8.75,7.6
714,stephen colbert employer,0.0,3.75,0.0,0.0,0.0,24.4,5.25,2.25,3.6,0.0,2.25,3.2
715,ai bot labeled 2022 breakthrough of the year,14.25,22.75,6.4,12.0,25.0,19.4,4.0,0.0,6.8,0.0,4.75,9.0
716,goes by boat nyt crossword clue,0.0,0.0,3.0,0.0,0.0,20.0,4.0,0.0,0.0,10.0,9.5,0.0
717,openai chat gtp,0.25,0.25,0.2,0.75,51.75,16.2,2.75,3.0,2.0,1.75,1.0,0.2
718,dall e,81.0,57.0,51.4,31.75,47.25,42.6,37.75,33.5,30.4,24.5,18.75,14.2
719,open ai playground,8.25,12.75,17.2,21.0,68.5,64.4,62.75,72.5,53.8,28.5,24.5,20.4
720,chat ai bot,5.25,4.5,4.4,6.0,71.5,48.0,55.25,44.0,64.0,48.0,34.5,32.6
721,chat gpt bot,1.75,1.0,0.6,1.5,70.25,61.8,69.5,65.5,73.0,49.25,29.25,24.2
722,gpt chat bot,0.0,1.0,0.6,2.0,73.5,64.2,69.25,71.25,77.6,48.0,31.5,21.8
723,ai chat bot gpt,0.0,0.0,1.0,3.25,75.25,50.4,46.25,41.25,56.4,35.25,21.25,17.2
724,discord chat bot,16.25,30.5,29.0,28.25,31.25,39.8,52.0,47.0,59.0,55.25,42.0,40.2
725,google bot chat,12.25,11.25,10.8,8.25,19.25,24.0,56.0,51.5,40.2,36.25,28.75,26.6
726,chat bot free,6.25,14.0,14.4,9.75,28.75,44.4,55.25,53.5,72.6,76.5,49.25,71.4
727,what is chat bot,12.75,16.75,15.6,9.0,41.5,44.2,53.25,38.0,68.4,40.25,31.25,30.4
